species,f1_mean,f1_std,train_n,test_n
BOAFAB,0.9325869521215703,0.005511872399327458,6438,3355
SPHSUR,0.9199808491868903,0.0007362415404528496,13258,6810
BOABIS,0.894995001154819,0.0022772672671088966,10888,5636
DENMIN,0.8865831617878245,0.0016821683007563386,6070,3254
BOAALB,0.8853053174062621,0.005175854524492195,3704,1904
LEPLAB,0.8704519247548239,0.009279965813142927,1329,518
SCIFUV,0.8645861342603686,0.012001368235621097,2734,1395
DENNAN,0.8549323978882165,0.00667025924571327,3801,2007
PHYALB,0.84511005486628,0.01784641811537333,5374,2695
PHYCUV,0.8255869476334378,0.002024962392969178,4240,1986
LEPLAT,0.8252430694280214,0.004574117063694991,5244,2584
BOALUN,0.8077246195890494,0.0019204240050026548,2060,1098
LEPPOD,0.8016250917476274,0.008622287540551539,6032,3120
BOAALM,0.797833601147901,0.009561627840034599,1601,593
PITAZU,0.7961625838411562,0.006995321037925853,4873,2571
RHIICT,0.7763941373638521,0.08769085883494257,310,180
PHYSAU,0.7539596578562832,0.005292476361342569,1479,618
SCIPER,0.7398138552134439,0.0075891427655478,3791,1976
BOARAN,0.7323313606719387,0.04138809969776412,1339,575
PHYDIS,0.7244516300702467,0.02280419809073416,897,324
BOALEP,0.6985689942378052,0.027776412714174706,846,426
DENNAH,0.6858135053515303,0.019557237274244438,467,267
LEPNOT,0.6804001544768701,0.016135860894698303,1062,535
RHIORN,0.6475524475524476,0.05671956656300581,21,43
ELABIC,0.554552394586266,0.01820063354093795,1214,491
LEPFUS,0.5415244667108975,0.03575024218235685,1232,505
ELAMAT,0.5213206262356046,0.05105536046958672,395,293
PHYMAR,0.5068776588237666,0.01569316183046949,200,117
BOAPRA,0.46657729105367496,0.06600070393278117,480,247
PHYNAT,0.4136696531707389,0.011222847973226955,410,65
ADEDIP,0.40832728152989595,0.023949829937131524,390,223
DENCRU,0.4069560846560496,0.032485583194708414,602,270
DENELE,0.3204204204204204,0.13542777789422564,149,17
ADEMAR,0.28356548107128515,0.19030206508580833,520,224
SCIALT,0.1475136515900087,0.0614964126486324,232,10
AMEPIC,0.029312837521792746,0.012048027042597246,68,78
SCIFUS,0.0,0.0,0,116
SCINAS,0.0,0.0,0,38
